,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5036,Unlabeled:5036,Unlabeled:5036,Unlabeled:5037,Unlabeled:5037,Unlabeled:5037
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E357013AC","8392B20CF49E357013AC","8392B20CF49E357013AC","8392B20CF49E357013AD","8392B20CF49E357013AD","8392B20CF49E357013AD"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,0.241667,0.111538,-0.546655,-0.071698,-0.826793,-0.104558,0.052376,0.143247,0.000548,-0.006141,0.052525,0.008871,0.891479,-0.305093,0.051954,0.011990,0.796934,-0.002440,0.052649,0.408880,0.900218,-0.006441,0.052525,0.008759,-0.304542,0.051956,0.012267,-0.002632,0.052649,0.408746,-0.483664,0.043941,0.325666,,,,,,
30,0.250000,0.111546,-0.546656,-0.071707,-0.826791,-0.104556,0.052377,0.143245,0.000551,-0.006140,0.052527,0.008869,0.891151,-0.305092,0.051950,0.011989,0.795746,-0.002437,0.052654,0.408878,0.900021,-0.006441,0.052527,0.008755,-0.304536,0.051951,0.012268,-0.002629,0.052653,0.408744,-0.483672,0.043943,0.325657,,,,,,
31,0.258333,0.111538,-0.546664,-0.071700,-0.826787,-0.104556,0.052377,0.143244,0.000560,-0.006142,0.052526,0.008866,0.889527,-0.305094,0.051955,0.011991,0.792758,-0.002432,0.052651,0.408875,0.897756,-0.006446,0.052526,0.008751,-0.304531,0.051956,0.012276,-0.002628,0.052650,0.408737,-0.483665,0.043958,0.325652,,,,,,
32,0.266667,0.111527,-0.546671,-0.071690,-0.826785,-0.104558,0.052379,0.143248,0.000577,-0.006146,0.052525,0.008868,0.887187,-0.305098,0.051963,0.011998,0.786668,-0.002431,0.052648,0.408877,0.893595,-0.006452,0.052525,0.008749,-0.304520,0.051964,0.012297,-0.002636,0.052647,0.408733,-0.483673,0.043948,0.325635,,,,,,
33,0.275000,0.111535,-0.546670,-0.071704,-0.826783,-0.104564,0.052377,0.143251,0.000577,-0.006152,0.052527,0.008871,0.887291,-0.305104,0.051955,0.012002,0.786373,-0.002435,0.052648,0.408880,0.893494,-0.006458,0.052526,0.008750,-0.304525,0.051956,0.012302,-0.002642,0.052648,0.408736,-0.483675,0.043949,0.325625,,,,,,
34,0.283333,0.111537,-0.546669,-0.071698,-0.826784,-0.104566,0.052373,0.143247,0.000584,-0.006154,0.052521,0.008867,0.886006,-0.305106,0.051951,0.011997,0.783639,-0.002439,0.052646,0.408876,0.892380,-0.006463,0.052520,0.008744,-0.304519,0.051952,0.012301,-0.002647,0.052645,0.408731,-0.483684,0.043976,0.325634,,,,,,
35,0.291667,0.111514,-0.546680,-0.071667,-0.826783,-0.104557,0.052386,0.143251,0.000613,-0.006147,0.052527,0.008870,0.881599,-0.305099,0.051980,0.012004,0.772921,-0.002426,0.052650,0.408879,0.885846,-0.006462,0.052526,0.008738,-0.304483,0.051982,0.012332,-0.002648,0.052650,0.408725,-0.483687,0.043975,0.325624,,,,,,
36,0.300000,0.111515,-0.546683,-0.071677,-0.826779,-0.104559,0.052382,0.143257,0.000619,-0.006150,0.052525,0.008875,0.880817,-0.305102,0.051974,0.012013,0.770086,-0.002424,0.052646,0.408884,0.884881,-0.006468,0.052525,0.008739,-0.304478,0.051975,0.012346,-0.002651,0.052646,0.408729,-0.483675,0.043966,0.325612,,,,,,
37,0.308333,0.111518,-0.546683,-0.071680,-0.826779,-0.104549,0.052381,0.143265,0.000651,-0.006141,0.052525,0.008883,0.875560,-0.305092,0.051971,0.012020,0.758448,-0.002415,0.052646,0.408891,0.877881,-0.006467,0.052524,0.008739,-0.304437,0.051972,0.012376,-0.002655,0.052645,0.408727,-0.483672,0.043954,0.325606,,,,,,
38,0.316667,0.111515,-0.546702,-0.071683,-0.826766,-0.104541,0.052378,0.143284,0.000687,-0.006139,0.052523,0.008897,0.870956,-0.305091,0.051969,0.012049,0.744490,-0.002394,0.052644,0.408906,0.869190,-0.006469,0.052522,0.008739,-0.304399,0.051970,0.012440,-0.002655,0.052643,0.408729,-0.483671,0.043945,0.325601,,,,,,
