,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5149,Unlabeled:5149,Unlabeled:5149,Unlabeled:5150,Unlabeled:5150,Unlabeled:5150
,,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E35701412,8392B20CF49E35701412,8392B20CF49E35701412,8392B20CF49E3570141D,8392B20CF49E3570141D,8392B20CF49E3570141D,8392B20CF49E3570141E,8392B20CF49E3570141E,8392B20CF49E3570141E
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,0.241667,0.111321,-0.542939,-0.07034,-0.829384,-0.099921,0.052833,0.133595,0.000141,-0.000265,0.052779,0.000135,0.974407,-0.299234,0.052815,0.000489,0.966972,-0.000263,0.052906,0.400161,0.952525,-0.000321,0.052779,0.0001,-0.299245,0.052815,0.000399,-0.000195,0.052906,0.400287,-0.507319,0.05418,0.322143,,,,,,
30,0.25,0.111317,-0.542952,-0.070332,-0.829376,-0.099921,0.052831,0.133593,0.000135,-0.000269,0.052775,0.00013,0.975033,-0.299238,0.052815,0.000493,0.969155,-0.000255,0.052904,0.400157,0.95432,-0.00032,0.052775,0.000093,-0.299248,0.052815,0.000411,-0.000193,0.052904,0.400278,-0.50727,0.05401,0.322124,,,,,,
31,0.258333,0.111312,-0.542949,-0.070336,-0.829378,-0.099919,0.05283,0.13359,0.000137,-0.000267,0.052775,0.000127,0.975484,-0.299235,0.052816,0.000488,0.968328,-0.000255,0.052899,0.400154,0.953743,-0.000319,0.052775,0.000093,-0.299248,0.052816,0.000402,-0.00019,0.052899,0.400276,-0.507203,0.053858,0.322104,,,,,,
32,0.266667,0.111313,-0.542947,-0.070328,-0.829381,-0.099923,0.052827,0.133589,0.00014,-0.00027,0.05277,0.000127,0.974359,-0.299238,0.052814,0.000486,0.96762,-0.000262,0.052897,0.400154,0.952856,-0.000324,0.05277,0.000091,-0.299249,0.052814,0.000399,-0.000196,0.052897,0.400279,-0.507081,0.053635,0.322062,,,,,,
33,0.275,0.111312,-0.542946,-0.070321,-0.829382,-0.099925,0.05283,0.133594,0.000144,-0.000271,0.052771,0.000133,0.972995,-0.29924,0.052818,0.000491,0.966778,-0.000264,0.052901,0.400159,0.952134,-0.000328,0.052771,0.000094,-0.299247,0.052818,0.000403,-0.000198,0.052901,0.400287,-0.506933,0.053427,0.322033,,,,,,
34,0.283333,0.111308,-0.542952,-0.070329,-0.829378,-0.099925,0.05283,0.133597,0.000137,-0.000273,0.052774,0.000134,0.974802,-0.299242,0.052819,0.000497,0.968212,-0.00026,0.052898,0.400161,0.95425,-0.000327,0.052774,0.000099,-0.299251,0.052819,0.000412,-0.000196,0.052898,0.400282,-0.506776,0.053204,0.322001,,,,,,
35,0.291667,0.111315,-0.542946,-0.070332,-0.829381,-0.099924,0.05283,0.133592,0.000141,-0.00027,0.052774,0.00013,0.974184,-0.299239,0.052815,0.000489,0.967013,-0.000263,0.052901,0.400157,0.9534,-0.000327,0.052774,0.000097,-0.299247,0.052815,0.0004,-0.000196,0.052901,0.400281,-0.506643,0.052992,0.321995,,,,,,
36,0.3,0.11131,-0.54295,-0.07033,-0.829379,-0.099924,0.052832,0.133594,0.000139,-0.000272,0.052775,0.000131,0.974813,-0.299241,0.052819,0.000492,0.967303,-0.000261,0.0529,0.400158,0.953382,-0.000327,0.052775,0.000098,-0.299251,0.052819,0.000404,-0.000194,0.0529,0.400281,-0.506559,0.052859,0.322064,,,,,,
37,0.308333,0.111318,-0.542938,-0.070335,-0.829385,-0.099925,0.052829,0.133591,0.000142,-0.000269,0.052774,0.000132,0.974344,-0.299237,0.052812,0.000484,0.966711,-0.000268,0.052901,0.400158,0.952201,-0.000325,0.052774,0.000098,-0.299248,0.052812,0.000394,-0.0002,0.052901,0.400285,-0.506533,0.052767,0.322148,,,,,,
38,0.316667,0.11131,-0.54295,-0.070336,-0.829378,-0.099925,0.052831,0.133595,0.000136,-0.000273,0.052776,0.000132,0.974903,-0.299242,0.052817,0.000494,0.968398,-0.000261,0.052899,0.400158,0.954678,-0.000327,0.052776,0.000097,-0.29925,0.052817,0.00041,-0.000197,0.052899,0.400279,-0.506476,0.052729,0.322266,,,,,,
